0.00,100,120,1,smallGrid,20,0.2
0.00,100,120,2,smallGrid,20,0.2
0.00,100,120,1,smallGrid,20,0.4
0.00,100,120,2,smallGrid,20,0.4
0.00,100,120,1,smallGrid,20,0.6
0.00,100,120,2,smallGrid,20,0.6
0.00,100,120,1,smallGrid,20,0.8
0.00,100,120,2,smallGrid,20,0.8
0.00,100,120,1,smallGrid,20,1.0
0.00,100,120,2,smallGrid,20,1.0
0.00,100,120,1,smallGrid,40,0.2
0.00,100,120,2,smallGrid,40,0.2
0.01,100,120,1,smallGrid,40,0.4
0.00,100,120,2,smallGrid,40,0.4
0.00,100,120,1,smallGrid,40,0.6
0.01,100,120,2,smallGrid,40,0.6
0.00,100,120,1,smallGrid,40,0.8
0.01,100,120,2,smallGrid,40,0.8
0.01,100,120,1,smallGrid,40,1.0
0.00,100,120,2,smallGrid,40,1.0
0.00,100,120,1,smallGrid,60,0.2
0.00,100,120,2,smallGrid,60,0.2
0.00,100,120,1,smallGrid,60,0.4
0.00,100,120,2,smallGrid,60,0.4
0.00,100,120,1,smallGrid,60,0.6
0.00,100,120,2,smallGrid,60,0.6
0.01,100,120,1,smallGrid,60,0.8
0.01,100,120,2,smallGrid,60,0.8
0.01,100,120,1,smallGrid,60,1.0
0.00,100,120,2,smallGrid,60,1.0
0.00,100,120,1,smallGrid,80,0.2
0.00,100,120,2,smallGrid,80,0.2
0.01,100,120,1,smallGrid,80,0.4
0.00,100,120,2,smallGrid,80,0.4
0.00,100,120,1,smallGrid,80,0.6
0.00,100,120,2,smallGrid,80,0.6
0.01,100,120,1,smallGrid,80,0.8
0.01,100,120,2,smallGrid,80,0.8
0.03,100,120,1,smallGrid,80,1.0
0.01,100,120,2,smallGrid,80,1.0
0.01,100,120,1,smallGrid,100,0.2
0.00,100,120,2,smallGrid,100,0.2
0.01,100,120,1,smallGrid,100,0.4
0.00,100,120,2,smallGrid,100,0.4
0.00,100,120,1,smallGrid,100,0.6
0.01,100,120,2,smallGrid,100,0.6
0.00,100,120,1,smallGrid,100,0.8
0.00,100,120,2,smallGrid,100,0.8
0.01,100,120,1,smallGrid,100,1.0
0.01,100,120,2,smallGrid,100,1.0
0.00,100,140,1,smallGrid,20,0.2
0.00,100,140,2,smallGrid,20,0.2
0.01,100,140,1,smallGrid,20,0.4
0.00,100,140,2,smallGrid,20,0.4
0.00,100,140,1,smallGrid,20,0.6
0.00,100,140,2,smallGrid,20,0.6
0.00,100,140,1,smallGrid,20,0.8
0.00,100,140,2,smallGrid,20,0.8
0.02,100,140,1,smallGrid,20,1.0
0.01,100,140,2,smallGrid,20,1.0
0.00,100,140,1,smallGrid,40,0.2
0.00,100,140,2,smallGrid,40,0.2
0.00,100,140,1,smallGrid,40,0.4
0.00,100,140,2,smallGrid,40,0.4
0.01,100,140,1,smallGrid,40,0.6
0.00,100,140,2,smallGrid,40,0.6
0.00,100,140,1,smallGrid,40,0.8
0.01,100,140,2,smallGrid,40,0.8
0.00,100,140,1,smallGrid,40,1.0
0.04,100,140,2,smallGrid,40,1.0
0.00,100,140,1,smallGrid,60,0.2
0.01,100,140,2,smallGrid,60,0.2
0.00,100,140,1,smallGrid,60,0.4
0.00,100,140,2,smallGrid,60,0.4
0.00,100,140,1,smallGrid,60,0.6
0.00,100,140,2,smallGrid,60,0.6
0.00,100,140,1,smallGrid,60,0.8
0.00,100,140,2,smallGrid,60,0.8
0.01,100,140,1,smallGrid,60,1.0
0.04,100,140,2,smallGrid,60,1.0
0.00,100,140,1,smallGrid,80,0.2
0.00,100,140,2,smallGrid,80,0.2
0.00,100,140,1,smallGrid,80,0.4
0.00,100,140,2,smallGrid,80,0.4
0.00,100,140,1,smallGrid,80,0.6
0.01,100,140,2,smallGrid,80,0.6
0.00,100,140,1,smallGrid,80,0.8
0.00,100,140,2,smallGrid,80,0.8
0.02,100,140,1,smallGrid,80,1.0
0.01,100,140,2,smallGrid,80,1.0
0.00,100,140,1,smallGrid,100,0.2
0.00,100,140,2,smallGrid,100,0.2
0.00,100,140,1,smallGrid,100,0.4
0.00,100,140,2,smallGrid,100,0.4
0.00,100,140,1,smallGrid,100,0.6
0.00,100,140,2,smallGrid,100,0.6
0.00,100,140,1,smallGrid,100,0.8
0.00,100,140,2,smallGrid,100,0.8
0.00,100,140,1,smallGrid,100,1.0
0.01,100,140,2,smallGrid,100,1.0
0.00,100,160,1,smallGrid,20,0.2
0.00,100,160,2,smallGrid,20,0.2
0.00,100,160,1,smallGrid,20,0.4
0.00,100,160,2,smallGrid,20,0.4
0.01,100,160,1,smallGrid,20,0.6
0.00,100,160,2,smallGrid,20,0.6
0.00,100,160,1,smallGrid,20,0.8
0.00,100,160,2,smallGrid,20,0.8
0.01,100,160,1,smallGrid,20,1.0
0.01,100,160,2,smallGrid,20,1.0
0.01,100,160,1,smallGrid,40,0.2
0.00,100,160,2,smallGrid,40,0.2
